# Stat goc + growth/level cua hero arena. id = id prefab (44xxx). critRate 0..1, critDmg he so (1.5=+50%)
# Stat tai level N = base + perLevel*(N-1)
id,name,hp,atk,def,spd,critRate,critDmg,attackRange,hpPerLevel,atkPerLevel,defPerLevel
44000,Capy Vua,300,25,12,1,0.1,1.5,1,30,3,1.5
44001,Capy Trau,420,20,18,1,0.05,1.5,1,45,2.5,2
44003,Vit Phap Su,220,32,6,1,0.12,1.6,3,20,4,1
44004,Tho Kiem,260,28,8,1,0.15,1.6,1,24,3.5,1.2
44005,Khi Ma,240,30,7,1,0.12,1.6,2,22,3.8,1
44006,Quy Hong,280,27,10,1,0.1,1.5,1,26,3.2,1.4
44008,Quy Lua,320,33,9,1,0.13,1.7,1,28,4.2,1.2
44010,Doi Ma,250,29,8,1,0.14,1.6,2,23,3.6,1.1
44011,Meo Chien,270,26,11,1,0.1,1.5,1,25,3.1,1.5
44013,Ngo Khong,340,35,10,1,0.15,1.7,1,30,4.5,1.3
