# Hero + enemy config. element: Fire/Water/Wind/Light/Dark. evolvePath: None/Assassin/Fighter/Tank
# mana: maxMana / startMana / manaPerAttack / manaOnHit. attackRange: nhỏ(2.5)=cận chiến lao vào, lớn(999)=tầm xa. modelKey = char Spriter (Resources/Heroes).
id,name,element,heroClass,rarity,baseHp,baseAtk,baseDef,baseSpd,critRate,critDmg,damageReduction,growthHp,growthAtk,growthDef,basicSkillId,skill2Id,ultimateId,modelKey,baseHeroId,evolvePath,maxMana,startMana,manaPerAttack,manaOnHit,attackRange
hero_1001,ignis_name,Fire,Mage,3,800,120,50,95,0.15,1.5,0,60,9,3,skill_2001,skill_2002,skill_2003,Seer1,,None,100,30,25,12,999
enemy_9001,dummy_wind,Wind,Warrior,3,1200,90,200,80,0.05,1.5,0,80,7,4,skill_2001,skill_2002,,Goblin,,None,100,30,25,12,2.5
hero_1001_as,ignis_assassin,Fire,Ranger,3,650,160,40,115,0.30,1.8,0,45,12,2,skill_2001,skill_2002,skill_3001,Seer2,hero_1001,Assassin,100,30,25,12,999
hero_1001_fg,ignis_fighter,Fire,Warrior,3,950,135,80,100,0.18,1.5,0,65,10,4,skill_2001,skill_2002,skill_3002,Valkyrie1,hero_1001,Fighter,100,30,25,12,2.5
hero_1001_tk,ignis_tank,Fire,Tank,3,1500,80,160,80,0.05,1.5,0,100,6,6,skill_2001,skill_2002,skill_3003,Ogre,hero_1001,Tank,100,30,25,12,2.5
hero_gladiator,Gladiator,Light,Warrior,1,1100,125,95,92,0.12,1.5,0,80,9,5,skill_2001,skill_gladi_1,,Valkyrie2,,None,100,30,25,12,2.5
hero_2001,Valkyrie,Light,Warrior,4,900,150,70,105,0.20,1.6,0,65,11,4,skill_2001,skill_2002,skill_3001,Valkyrie3,,None,100,30,25,12,2.5
hero_2002,Warden,Water,Tank,4,1600,90,180,80,0.05,1.5,0,110,6,7,skill_2001,skill_2002,skill_3003,Orc,,None,100,30,25,12,2.5
mob_slime,Slime,Water,None,1,2000,150,60,70,0.05,1.5,0,0,0,0,skill_2001,skill_2002,,Zombie1,,None,100,0,25,12,2.5
mob_goblin,Goblin,Wind,None,1,3000,260,120,95,0.10,1.5,0,0,0,0,skill_2001,skill_2002,,Goblin,,None,100,0,25,12,2.5
mob_orc,Orc,Fire,None,1,5000,300,200,75,0.08,1.5,0.20,0,0,0,skill_2001,skill_2002,skill_3002,Orc,,None,100,0,25,12,2.5
mob_wolf,DireWolf,Wind,None,1,2500,380,90,120,0.20,1.6,0,0,0,0,skill_2001,skill_2002,,Zombie2,,None,100,0,25,12,2.5
mob_bat,ShadowBat,Dark,None,1,1500,300,70,130,0.15,1.5,0,0,0,0,skill_2001,skill_2002,,Zombie3,,None,100,0,25,12,2.5
mob_golem,StoneGolem,Light,None,1,8000,200,350,60,0.05,1.5,0.15,0,0,0,skill_2001,skill_2002,,Ogre,,None,100,0,25,12,2.5
mob_archer,Archer,Wind,None,1,2200,340,100,105,0.18,1.6,0,0,0,0,skill_2001,skill_2002,,Seer3,,None,100,0,25,12,999
mob_mage,DarkMage,Dark,None,1,1800,500,80,100,0.15,1.7,0,0,0,0,skill_2001,skill_2002,skill_2003,Seer1,,None,100,0,25,12,999
boss_ogre,Ogre_King,Dark,None,1,18000,550,300,85,0.15,1.8,0.10,0,0,0,skill_2001,skill_2002,skill_2003,Ogre,,None,100,0,25,12,2.5
boss_dragon,Dragon,Fire,None,1,25000,650,350,90,0.15,1.8,0.10,0,0,0,skill_2001,skill_2002,skill_2003,Orc,,None,100,0,25,12,999
hero_shadow,Umbra,Dark,Ranger,5,850,170,55,120,0.20,1.6,0,60,12,3,skill_shadow_basic,,skill_shadow_ult,Seer2,,None,100,30,25,12,2.5
hero_2003,Pyra,Fire,Mage,4,820,130,45,100,0.20,1.7,0,64,14,3,skill_2001,skill_pyroblast,skill_2003,Seer3,,None,100,30,25,12,999
hero_2004,Aqua,Water,Mage,4,780,128,45,98,0.20,1.7,0,63,13,3,skill_2001,skill_pyroblast,skill_2003,Seer1,,None,100,30,25,12,999
hero_2005,Gale,Wind,Ranger,4,620,150,40,118,0.30,1.8,0,55,14,2,skill_2001,skill_pyroblast,skill_3001,Seer3,,None,100,30,25,12,999
hero_2006,Bulwark,Water,Tank,4,1500,80,160,78,0.05,1.5,0.30,125,6,7,skill_2001,skill_gladi_1,skill_3003,Ogre,,None,100,30,25,12,2.5
hero_2007,Sylva,Wind,Support,4,850,90,60,100,0.10,1.5,0,70,7,4,skill_2001,skill_heal_wave,skill_renewal,Valkyrie2,,None,100,30,25,12,999
hero_2008,Grave,Dark,Warrior,4,1000,160,55,95,0.18,1.6,0,100,9,4,skill_shadow_basic,skill_drain_slash,skill_shadow_ult,Zombie2,,None,100,30,25,12,2.5
hero_2009,Aegis,Light,Tank,4,1200,145,90,92,0.10,1.5,0.15,97,9,6,skill_2001,skill_gladi_2,skill_3002,Valkyrie1,,None,100,30,25,12,2.5
hero_2010,Ignia,Fire,Warrior,4,1000,160,80,90,0.15,1.6,0,100,9,5,skill_2001,skill_2002,skill_2003,Orc,,None,100,30,25,12,2.5
hero_2011,Seraph,Light,Support,4,900,95,65,98,0.10,1.5,0,72,7,4,skill_2001,skill_atk_buff,skill_renewal,Valkyrie3,,None,100,30,25,12,999
