# Config bot moi ai: vi tri (slot 0..5) + id unit + level/star + he so nhan (hpMul/atkMul/defMul) de tang giam suc manh
stageId,wave,slot,enemyId,level,star,hpMul,atkMul,defMul
stage_1_1,1,0,mob_slime,1,1,1,1,1
stage_1_1,1,1,mob_slime,1,1,1,1,1
stage_1_1,2,0,mob_slime,1,1,1,1,1
stage_1_1,2,1,mob_goblin,1,1,1,1,1
stage_1_2,1,0,mob_goblin,1,1,1,1,1
stage_1_2,1,1,mob_goblin,1,1,1,1,1
stage_1_2,2,0,mob_wolf,1,1,1,1,1
stage_1_2,2,1,mob_goblin,1,1,1,1,1
stage_1_3,1,0,mob_wolf,1,1,1,1,1
stage_1_3,1,1,mob_bat,1,1,1,1,1
stage_1_3,2,0,mob_orc,1,1,1,1,1
stage_1_4,1,0,mob_goblin,1,1,1,1,1
stage_1_4,1,1,mob_archer,1,1,1,1,1
stage_1_4,1,2,mob_bat,1,1,1,1,1
stage_1_4,2,0,mob_orc,1,1,1,1,1
stage_1_4,2,1,mob_wolf,1,1,1,1,1
stage_1_5,1,0,mob_archer,1,1,1,1,1
stage_1_5,1,1,mob_mage,1,1,1,1,1
stage_1_5,2,0,boss_ogre,1,1,1,1,1
stage_1_6,1,0,mob_orc,1,1,1.1,1,1
stage_1_6,1,1,mob_golem,1,1,1,1,1
stage_1_6,2,0,mob_mage,1,1,1,1.1,1
stage_1_6,2,1,mob_archer,1,1,1,1.1,1
stage_1_7,1,0,mob_golem,1,1,1,1,1
stage_1_7,1,1,mob_wolf,1,1,1,1,1
stage_1_7,1,2,mob_bat,1,1,1,1,1
stage_1_7,2,0,mob_orc,1,1,1.1,1.1,1
stage_1_7,2,1,mob_orc,1,1,1.1,1.1,1
stage_1_8,1,0,mob_mage,1,1,1,1.1,1
stage_1_8,1,1,mob_mage,1,1,1,1.1,1
stage_1_8,2,0,mob_golem,1,1,1.2,1,1
stage_1_8,2,1,mob_orc,1,1,1.1,1.1,1
stage_1_9,1,0,mob_archer,1,1,1,1.15,1
stage_1_9,1,1,mob_mage,1,1,1,1.15,1
stage_1_9,1,2,mob_wolf,1,1,1,1.15,1
stage_1_9,2,0,boss_ogre,1,1,1.1,1.1,1
stage_1_9,2,1,mob_golem,1,1,1.1,1,1
stage_1_10,1,0,mob_orc,1,1,1.2,1.2,1
stage_1_10,1,1,mob_golem,1,1,1.2,1.1,1
stage_1_10,1,2,mob_mage,1,1,1,1.2,1
stage_1_10,2,0,boss_dragon,1,1,1,1.15,1
