# 10 ai chuong 1. unlockStageId rong = mo san; con lai phai clear ai truoc
id,chapter,index,name,staminaCost,unlockStageId,recommendedPower
stage_1_1,1,1,1-1 Dong Co,6,,2000
stage_1_2,1,2,1-2 Bia Rung,6,stage_1_1,3000
stage_1_3,1,3,1-3 Rung Sau,6,stage_1_2,4000
stage_1_4,1,4,1-4 Khe Nui,6,stage_1_3,5000
stage_1_5,1,5,1-5 Hang Ogre,10,stage_1_4,7000
stage_1_6,1,6,1-6 Dat Chet,6,stage_1_5,8500
stage_1_7,1,7,1-7 Mo Da,6,stage_1_6,10000
stage_1_8,1,8,1-8 Thap Am,6,stage_1_7,12000
stage_1_9,1,9,1-9 Cong Dia Nguc,6,stage_1_8,14000
stage_1_10,1,10,1-10 Sao Huyet Long,12,stage_1_9,18000
