id,pack_name,res_type,res_id,res_number,custom_value,bonus,stage_bonus,first_time_purchase_bonus,purchase_type,purchase_count,iap_cost,cost_type,cost_id,cost_number,sale,google_product_id,google_product_id_premium,apple_product_id,many_purchase
1,daily_specials_1,2,600501,1,600501,0,0,0,Free,1,,,,,,daily_specials_1,,daily_specials_1,
2,daily_specials_2,2,600101,1,600101,0,0,0,Ads,1,,,,,,daily_specials_2,,daily_specials_2,
3,daily_specials_3,1,6,30,,0,0,0,Ads,1,,,,,,daily_specials_3,,daily_specials_3,
4,daily_specials_4,2,100201,1,100201,0,0,0,Ads,1,,,,,,daily_specials_4,,daily_specials_4,
,,2,100101,1,100101,,,,,,,,,,,,,,
,,2,100301,,100301,,,,,,,,,,,,,,
,,2,100401,,100401,,,,,,,,,,,,,,
,,2,100501,,100501,,,,,,,,,,,,,,
,,2,100601,,100601,,,,,,,,,,,,,,
,,2,100701,,100701,,,,,,,,,,,,,,
5,daily_specials_5,2,200401,1,200401,0,0,0,Ads,1,,,,,,daily_specials_5,,daily_specials_5,
,,2,200501,1,200501,,,,,,,,,,,,,,
,,2,200601,1,200601,,,,,,,,,,,,,,
,,2,200701,1,200701,,,,,,,,,,,,,,
