id,pack_name,res_type,res_id,res_number,custom_value,bonus,stage_bonus,first_time_purchase_bonus,purchase_type,purchase_count,iap_cost,cost_type,cost_id,cost_number,sale,google_product_id,google_product_id_premium,apple_product_id,duration_pack
0,starter_pack,2,1000,1,1000,0,0,0,IAP,1,,,,,,starter_pack,,starter_pack,30
,,2,2000,1,2000,,,,,,,,,,,,,,
,,2,3000,,3000,,,,,,,,,,,,,,
,,2,4000,,4000,,,,,,,,,,,,,,
,,2,5000,,5000,,,,,,,,,,,,,,
,,2,6000,,6000,,,,,,,,,,,,,,
,,2,7000,,7000,,,,,,,,,,,,,,
1,starter_pack1,2,10000,1,10000,0,0,0,IAP,1,,,,,,a,,a,30
,,2,10010,1,10010,,,,,,,,,,,,,,
,,2,10020,1,10020,,,,,,,,,,,,,,
,,2,10030,1,10030,,,,,,,,,,,,,,
