feature,type,unlock_type,unlock_value,tag,show_when_open
ChainPack,Feature,Level,0,,TRUE
PiggyBank,Feature,LevelAccount,0,,TRUE
DailyReward,Feature,LevelAccount,0,,FALSE
BattlePass,Feature,LevelAccount,0,,TRUE
ItemBubble,Feature,LevelAccount,0,,FALSE
VideoBonuses,Feature,LevelAccount,0,,TRUE
PetalPlateParty,Feature,LevelAccount,0,,FALSE
SpeedFeastRace,Feature,LevelAccount,0,,FALSE
PizzaTowerRace,Feature,LevelAccount,0,,FALSE
FortuneMeetsCookie,Feature,LevelAccount,0,,FALSE
Shop,Feature,LevelAccount,0,,TRUE
ChefsBook,Feature,LevelAccount,0,,TRUE
Inventory,Feature,LevelAccount,0,,TRUE
DiscountGemRaw,Feature,LevelAccount,0,,FALSE
StarterPack,Feature,LevelAccount,0,,FALSE
InfinityPack,Feature,LevelAccount,0,,FALSE
EnergyPack,Feature,LevelAccount,0,,FALSE
EnergyTrilogy,Feature,LevelAccount,0,,FALSE
SpeedPackage,Feature,LevelAccount,0,,FALSE
HappinessExpress,Feature,LevelAccount,0,,FALSE
GiftCode,Feature,LevelAccount,0,,FALSE
